Sr No	Date 	Startup Name	Industry Vertical	SubVertical	City Location	Investors Name	InvestmentnType	Amount Clean	Is _disclosed
1150	14-12-16	Fitpass	Consumer Internet	Fitness center aggregator & Booking mobile app	New Delhi	Mumbai Angels	Seed Funding	"10,00,000"	Yes
1151	14-12-16	MoEngage	Technology	User analytics and engagement platform	Bengaluru	Anand Chandrasekaran	Seed Funding		No
1152	14-12-16	Ten3t Health	Technology	medical grade wearable patch maker	Bengaluru	"V. Krishna Prasad, Bhupen Shah & Others"	Seed Funding		No
1153	14-12-16	Trading Bells	Consumer Internet	Online Share & Commodity Broking platform	Indore	Swastika Investmart Ltd	Seed Funding	"2,97,000"	Yes
1154	15-12-16	SERV\\xe2\\x80\\x99D	Consumer Internet	Financial Services For Unorganized Workforce	Pune	Digital Financial Service Lab	Seed Funding	"1,00,000"	Yes
1155	15-12-16	IdeaForge	Technology	Drone Manufacturing	Mumbai	"WRV Capital and IndusAge Partners, Infosys Innovation Fund"	Private Equity	"1,00,00,000"	Yes
1156	15-12-16	Amagi Media Labs	Technology	Media Technology Solutions	Mumbai	"Emerald Media, Premji Invest"	Private Equity	"3,50,00,000"	Yes
1157	15-12-16	Pocket Aces	Technology	Digital Entertainment Company	Mumbai	"Sequoia Capital India, North Base Media, Aarin Capital, 3one4 Capital, Axilor Ventures, Kunal Shah, Sandeep Tandon"	Private Equity	"30,00,000"	Yes
1158	16-12-16	Pi Data Centers	Technology	Cloud Data Center Solutions provider	Hyderabad	Epsilon Venture Partners	Private Equity	"2,30,00,000"	Yes
1159	16-12-16	TripShelf	Consumer Internet	Holiday Packages provider	New Delhi	"GEMS Advisory, Quarizon"	Seed Funding	"1,23,000"	Yes
1160	19-12-16	Events High	Consumer Internet	Events & Activities Marketplace	Bengaluru	Axilor Ventures	Private Equity		No
1161	19-12-16	NoBroker	Consumer Internet	Rental property search portal	Bengaluru	"KTB Network, SAIF Partners, BEENEXT, Digital Garage"	Private Equity	"74,00,000"	Yes
1162	20-12-16	VivoCarat	eCommerce	Online jewellery marketplace	Mumbai	Undisclosed Investors	Seed Funding	50000.00	Yes
1163	20-12-16	Tiyo	Consumer Internet	Doctor Search Mobile App	Kolkata	Ajith Nair	Seed Funding		No
1164	20-12-16	Zoomcar	Consumer Internet	Self-Driven Cab booking platform	Bengaluru	Cyber Carrier CL	Private Equity		No
1165	20-12-16	BYJU\\xe2\\x80\\x99s	Consumer Internet	Online Learning platform	Bengaluru	International Financial Corporation	Private Equity	"1,50,00,000"	Yes
1166	21-12-16	Supr Daily	Consumer Internet	Daily Subscription based Delivery service	Mumbai	"Dr. Apoorv Ranjan Sharma, Anil Jain, Anuj Golecha, Krishna Jhunjhunwala, Anirudh Damani"	Seed Funding		No
1167	21-12-16	The BlueBook	Consumer Internet	online to offline marketing platform	Bengaluru	"Indian Angel Network, Let\\xe2\\x80\\x99s Venture"	Seed Funding	"5,00,000"	Yes
1168	21-12-16	MamaEarth	eCommerce	Babycare Products seller	New Delhi	Fireside Ventures & Others	Seed Funding		No
1169	21-12-16	Vegetall	eCommerce	Online Vegetable eTailer	Chennai	The Chennai Angels	Seed Funding	"1,62,000"	Yes
1170	22-12-16	Innoplexus	Technology	Data as a Service Provider	Pune	HCS Venture capital fund	Private Equity		No
1171	22-12-16	Mindler	Consumer Internet	Career Planning & Assessment platform	New Delhi	Taxmann	Seed Funding	"3,24,000"	Yes
1172	22-12-16	MCaffeine	eCommerce	Personal care product etailer	Bengaluru	"Kaushal Agarwal, Harminder Sahani, KK Mehra, Pranay Jivrajka, Navjot Saini"	Seed Funding	"3,00,000"	Yes
1173	23-12-16	enKast	Technology	Cloud based CRM for Agencies	Bengaluru	Ivy League Alumni Angel Network	Private Equity	"20,00,000"	Yes
1174	23-12-16	ShopKirana	eCommerce	B2B platform for Merchants & Retailers	Indore	"Incubate Fund, Lead Angels Group & Others"	Private Equity		No
1175	23-12-16	MyAdvo	Consumer Internet	Legal Advice Platform	New Delhi	"Pradyumna Dalmia, S. Somasegar & Others"	Seed Funding		No
1176	23-12-16	Asocon	Technology	Process management startup	Noida	Quarizon	Seed Funding		No
1177	23-12-16	LexComply	Consumer Internet	Compliance Management Software	New Delhi	Ajay Relan	Seed Funding		No
1178	26-12-16	The Postbox	eCommerce	Art & Lifestyle ECommerce Store	Chennai	"The Chennai Angels, Ritesh Mehta, Aruna Ganesh Ram"	Seed Funding		No
1179	26-12-16	Pandorum Technologies	Technology	3D printed experimental Human Liver tissue creator	Bengaluru	"Sachin Bansal, Binny Bansal"	Seed Funding		No
1180	26-12-16	Dekkho	Consumer Internet	Video Streaming platform	Mumbai	undisclosed investors	Seed Funding	"12,00,000"	Yes
1181	26-12-16	Shadowfox	Logistics	On-Demand Delivery Service	Gurgaon	Eight Roads Ventures	Private Equity	"1,00,00,000"	Yes
1182	27-12-16	ShopX	eCommerce	SAAS ECommerce Retail app	Bengaluru	Nandan Nilekani	Private Equity	"50,00,000"	Yes
1183	28-12-16	BookEventz	Consumer Internet	Online event-booking platform	Mumbai	"Lead Angels, Mumbai Angels, LetsVenture, Girish Mathrubootham, Anbu Pandian"	Seed Funding		No
1184	29-12-16	Healthifyme	Consumer Internet	Fitness Mobile App	Bengaluru	NB Ventures	Private Equity	"10,00,000"	Yes
1185	29-12-16	LetsMD	Consumer Internet	Healthcare plan comparison platform	New Delhi	"WaterBridge Ventures,"	Seed Funding		No
1186	29-12-16	Justbooks	Consumer Internet	Library Chain Aggregator	Bengaluru	CoCreate Ventures	Seed Funding		No
1187	30-12-16	InstantPay	Consumer Internet	Digital payments & recharge platform	New Delhi	"RB Investments,\\xc2\\xa0 Kaleden Holdings"	Private Equity		No
1188	01-11-16	PickMyLaundry	Consumer Internet	On-Demand Washing & Dry Cleaning Services	New Delhi	"Kedar Lele, GHV Accelerator"	Seed Funding	"2,00,000"	Yes
1189	02-11-16	FreshDesk	Consumer Internet	SAAS Based HelpDesk Services	Chennai	"Sequoia Capital India, Accel Partners"	Private Equity	"5,50,00,000"	Yes
1190	02-11-16	LaundryAnna	Consumer Internet	On-Demand Washing & Dry Cleaning Services	Bengaluru	Undisclosed Investors	Seed Funding	"1,50,000"	Yes
1191	02-11-16	LetsMD	Consumer Internet	Healthcare Services Comparison Platform	New Delhi	"Calcutta Angels Network, LetsVenture, Anupam Mittal, Currae Healthtech Fund"	Seed Funding		No
1192	02-11-16	Sattviko	Food & Beverage	Health Food Restaurant Chain	New Delhi	"Raman Roy, Ashish Gupta, Yogesh Andlay, Vaibhav Jain"	Seed Funding		No
1193	03-11-16	Zarget	Technology	SaaS-based web optimisation and marketing platform	Chennai	Sequoia India	Private Equity	"60,00,000"	Yes
1194	03-11-16	DoSelect	Consumer Internet	Skill Showcasing platform	Bengaluru	"3one4 Capital, Mumbai Angels, Aarin Capital"	Seed Funding		No
