Sr No	Date 	Startup Name	Industry Vertical	SubVertical	City Location	Investors Name	InvestmentnType	Amount Clean	Is _disclosed
1	09-01-20	BYJU’S	E-Tech	E-learning	Bengaluru	Tiger Global Management	Private Equity Round	"20,00,00,000"	Yes
2	13-01-20	Shuttl	Transportation	App based shuttle service	Gurgaon	Susquehanna Growth Equity	Series C	"80,48,394"	Yes
3	09-01-20	Mamaearth	E-commerce	Retailer of baby and toddler products	Bengaluru	Sequoia Capital India	Series B	"1,83,58,860"	Yes
4	02-01-20	Wealthbucket	FinTech	Online Investment	New Delhi	Vinod Khatumal	Pre-series A	"30,00,000"	Yes
5	02-01-20	Fashor	Fashion and Apparel	Embroiled Clothes For Women	Mumbai	Sprout Venture Partners	Seed Round	"18,00,000"	Yes
6	13-01-20	Pando	Logistics	"Open-market, freight management platform"	Chennai	Chiratae Ventures	Series A	"90,00,000"	Yes
7	10-01-20	Zomato	Hospitality	Online Food Delivery Platform	Gurgaon	Ant Financial	Private Equity Round	"15,00,00,000"	Yes
8	12-12-19	Ecozen	Technology	Agritech	Pune	Sathguru Catalyzer Advisors	Series A	"60,00,000"	Yes
9	06-12-19	CarDekho	E-Commerce	Automobile	Gurgaon	Ping An Global Voyager Fund	Series D	"7,00,00,000"	Yes
10	03-12-19	Dhruva Space	Aerospace	Satellite Communication	Bengaluru	"Mumbai Angels, Ravikanth Reddy"	Seed	"5,00,00,000"	Yes
11	13-12-19	Rivigo	Technology	Logistics Services and Solutions	Gurgaon	"SAIF Partners, Spring Canter Investment Ltd."	Series F	"2,00,00,000"	Yes
12	17-12-19	Healthians	B2B-focused foodtech startup	Food Solutions For Corporate	Bengaluru	"Paytm, NPTK, Sabre Partners and Neoplux"	Series C	"1,20,00,000"	Yes
13	16-12-19	Licious	E-Commerce	Online Meat And Seafood Ordering Startup	Bengaluru	Vertex Growth Fund	Series E	"3,00,00,000"	Yes
14	16-12-19	InCred	Finance	Non-Banking Financial Company	Mumbai		Debt Funding	"59,00,000"	Yes
15	14-12-19	Trell	Video	Experience Discovery Platform	Bengaluru	Ruizheng Investment	Seed Round	"20,00,000"	Yes
16	11-12-19	Rein Games	Gaming	Real money based gaming startup	Noida	Manipal Education and Medical Group (MEMG)	Seed Round	"5,00,00,000"	Yes
17	20-12-19	Lenskart.com	E-Commerce	Online Eyewear Shopping Portal	Faridabad	SoftBank Vision Fund	Series G	"23,10,00,000"	Yes
18	13-11-19	Freshworks	Software	Business and customer engagement tools	San Francisco	"Sequoia, CapitalG, Accel"	Series H	"15,00,00,000"	Yes
19	14-11-19	Misters	Health and wellness	Men's Health and Wellness brand	Gurgaon	"Sauce.vc, Rainforest Ventures"	Series B	"4,86,000"	Yes
20	13-11-19	Sunstone Eduversity Pvt. Ltd	Education	Elearning	Gurgaon	"Prime Venture Partners, LetsVenture, PS1 Venture and GlobalLogic co-founder Rajul Garg"	Seed	"15,00,000"	Yes
21	17-11-19	Burger Singh	Food and Beverage	Indian Burger Brand	Gurgaon	RB Investments	Venture		No
22	18-11-19	Healthians	Health and Wellness	Healthcare services	Gurgaon	"DG Daiwa Ventures, DG Incubation"	Series B	"1,20,00,000"	Yes
23	15-11-19	Ninjacart	B2B Marketing	Agritech	Bengaluru	Trifecta Capital Advisors	Debt Funding	"2,60,00,000"	Yes
24	20-11-19	Aye Finance	FinTech	Financial Services To MSMEs	Gurgaon	FinTech	Debt Funding	"1,74,11,265"	Yes
25	12-11-19	SuperGaming	Video Games	Social gaming platform	Pune	Dream Incubator	Seed Funding	"13,00,000"	Yes
26	20-11-19	Clumio	SaaS	Recovery software	San Jose	"Altimeter Capital, Sutter Hill Ventures"	Series C	"13,50,00,000"	Yes
27	11-11-19	eBikeGo	Last Mile Transportation	Electric bike rental	Amritsar	Startup Buddy	Seed	"3,00,000"	Yes
28	19-11-19	Digital Mall Asia	E-Commerce	Virtual e-commerce platform	New Delhi	Amour Infrastructure	Seed Funding	"22,00,00,000"	Yes
29	18-11-19	Medikabazaar	Healthcare	B2B platform for medical supplies	Mumbai	"Ackermans & van Haaren, HealthQuad, Rebright Partners, Toppan Printing"	Series B	"1,58,00,000"	Yes
30	15-11-19	Vogo Automotive	Last Mile Transportation	Scooter sharing app	Bengaluru	"Matrix Partners, Stellaris Venture Partners, Kalaari Capital"	Series B	"28,30,00,000"	Yes
31	19-11-19	Furtados School of Music	Education	Music Education	Tulangan	IAN Fund and DSG Consumer Partners		"20,00,00,000"	Yes
32	25-11-19	Paytm	FinTech	Mobile Wallet	Noida	Vijay Shekhar Sharma	Funding Round	"1,00,00,00,000"	Yes
33	04-10-19	Dunzo	Customer Service	Delivery Service	Bengaluru	Lightbox	Series D	"4,50,00,000"	Yes
34	02-10-19	Udaan	B2B	Business development	Bengaluru	"Altimeter Capital, DST Global"	Series D	"58,50,00,000"	Yes
35	21-10-19	The Man Company	Consumer Goods	Beauty and Grooming	Gurgaon	Ayushmann Khurana	Corporate Round		No
36	05-09-19	FPL Technologies	FinTech	Financial Services	Pune	"Matrix Partners India, Sequoia India"	Maiden Round	"45,00,000"	Yes
37	04-09-19	Cashflo	FinTech	Invoice discounting platform and SME lending marketplace	Mumbai	SAIF Partners	Series A	"33,00,000"	Yes
38	04-09-19	Digital F5	"Advertising, Marketing"	Digital marketing firm	Mumbai	TIW Private Equity	Private Equity Round	"60,00,000"	Yes
39	04-09-19	3rdFlix	SaaS	Education Technology	Hyderabad	Exfinity Venture Partners	pre-series A	"50,00,000"	Yes
40	04-09-19	75F	IoT	Building automation system	Burnsville	Breakthrough Energy Ventures	Series A	"1,80,00,000"	Yes
41	04-09-19	Myelin Foundry	Information Technology	Deep-technology	Bengaluru	Endiya Partners	Seed	"10,00,000"	Yes
42	04-09-19	Atomberg Technology	Consumer Technology	"Consumer Electronics, Home Appliances"	Mumbai	A91 Partners	Series A	"1,00,00,000"	Yes
43	04-09-19	GOQii	Health and Wellness	Wearable Fitness Bands	Menlo Park	Bennett Coleman and Company Ltd (BCCL)	Series C	"45,00,00,000"	Yes
44	03-09-19	Vyapar App	Accounting	Mobile-based Accounting Software	Bengaluru	"India Quotient, Axilor Ventures"	Series A	"50,00,000"	Yes
45	01-08-19	CarDekho	E-Commerce	Automotive	Gurgaon	SC GG India Mobility Holdings LLC	Series C	"2,00,00,000"	Yes
46	01-08-19	Progcap	Finance	Supply Chain Management	New Delhi	Sequoia India	Series A	"50,00,000"	Yes
47	01-08-19	MyPetrolPump	Retail	Fuel Delivery	Bengaluru		Seed Funding Round	"16,00,000"	Yes
48	01-08-19	Alteria Capital	Finance	VC Funds	Mumbai	"Azim Premji, Binny Bansal"	Single Venture	"14,00,00,000"	Yes
49	01-08-19	Pine Labs	Information Technology	Last-mile retail transaction technology	Noida	Pine Labs Pte Ltd	Corporate Round	"3,80,80,000"	Yes
50	12-08-19	Meesho	E-Commerce	Social Commerce	Bengaluru	Naspers	Series D	"12,50,00,000"	Yes
51	13-08-19	Cars24	E-Commerce	Car Retail	Gurgoan	MS Dhoni	Series D	"1,10,00,000"	Yes
52	13-08-19	Uniphore	Customer Service Platform	Conversational AI	Palo Alto	March Capital Partners	Series C	"5,10,00,000"	Yes
53	23-08-19	Zendrive	Automotive	Road Safety Analytics	San Francisco	XL Innovate	Series B	"3,70,00,000"	Yes
54	23-08-19	Lo! Foods	Consumer Goods	Low carb food for Diabetics	Bengaluru	"Rashmi Daga (founder, FreshMenu), Raveen Sastry (co-founder, Myntra) and Mitesh Shah (finance chief, BookMyShow)"	Seed Round	"5,00,000"	Yes
55	23-08-19	Tala	FinTech	Digital Lending Platform	Santa Monica	RPS Ventures	Series D	"11,00,00,000"	Yes
56	22-08-19	INDwealth	FinTech	Wealth Management	Gurgaon	Tiger Global Management	Venture Round	"1,50,00,000"	Yes
57	21-08-19	HungerBox	Food and Beverage	B2B Foodtech	Bengaluru	One97 Communications Ltd.	Series C	"65,90,000"	Yes
58	23-08-19	AdmitKard	EdTech	University Admissions	Noida	Growth DNA	Seed Round	"10,00,000"	Yes
59	19-08-19	Mishry Reviews	Services	Product Review	Gurgaon	Vir Sanghvi	Series A		No
60	19-08-19	Grofers	E-Commerce	Grocery Delivery	Gurgaon	Softbank Vision Fund	Series F	"7,00,00,000"	Yes
61	27-08-19	Rapido Bike Taxi	Transportation	Bike Taxi	Bengaluru	Westbridge Capital	Series B	"3,90,00,00,000"	Yes
62	02-07-19	RenewBuy	Finance	Auto Insurance	Gurgaon	"Lok Capital, IIFL Wealth"	Series B	"1,90,00,000"	Yes
63	02-07-19	Atlan	Information Technology	Big Data	Singapore	WaterBridge Ventures	Pre-Series A	"25,00,000"	Yes
64	01-07-19	WizCounsel	Compliance	Consulting	New Delhi	Kapil Dev	Angel	"1,45,000"	Yes
65	03-07-19	Ola Cabs	Transport	Cabs	Bengaluru	"DIG Investment Ab, Deshe Holdings, Samih Toukan and Hussam Khoury"	Series J	"10,00,000"	Yes
66	01-07-19	Uniphore	Artificial Intelligence	Speech Recognition	Chennai	March Capital Partners	Series C	"3,80,80,000"	Yes
67	04-07-19	Daalchini Technologies	Food and Beverage	Digital Vending Machine	New Delhi	Artha Venture	Seed Round	"5,00,000"	Yes
68	10-07-19	"""BYJU\\'S"""	EdTech	Education	Bengaluru	Qatar Investment Authority	Private Equity Round	"15,00,00,000"	Yes
69	11-07-19	Moglix	E-Commerce	Industrial Tools and Equipments	Singapore	"Composite Capital Management, Sequoia Capital India, Tiger Global Management"	Series D	"6,00,00,000"	Yes
70	10-07-19	Ezyhaul	Tech	Logistics	Singapore	Undisclosed	Series B	"1,60,00,000"	Yes
71	10-07-19	Indus OS	Tech	Smartphone Operating System	Mumbai	Ventureast	Series B	"57,50,000"	Yes
72	10-07-19	HealthAssure	Health Care	Primary care medical network	Mumbai	Blume Ventures	Series A	"25,00,000"	Yes
73	09-07-19	House of Msasaba	Luxury Label	Clothes and Apparel	Mumbai	Binny Bansal	Series A	"10,00,000"	Yes
74	08-07-19	Board Infinity	EdTech	Full-stack career platform	Mumbai	Multiple Angel Investors	Angel Round	"3,19,605"	Yes
75	05-06-19	NoBroker	E-Commerce	Real Estate	Bengaluru	General Atlantic	Series C	"5,10,00,000"	Yes
76	04-06-19	Bira91	Food and Beverage	Brewery	New Delhi	Anicut Capital	Debt Funding	"1,00,00,000"	Yes
77	03-06-19	FabHotels	E-Commerce	Hospitality	Gurgaon	"Goldman Sachs, Accel Partners and Qualcomm"		"48,89,975.54"	Yes
78	03-06-19	Avail Finance	Finance	FinTech	Bengaluru	Matrix Partners	Series A	"90,00,000"	Yes
79	04-06-19	BharatPe	Finance	FinTech	New Delhi	Insight Partners	Series B	"7,50,00,000"	Yes
80	04-06-19	Recykal	Waste Management Service	Optimization	Hyderabad	"Triton Investment Advisors, Pidilite Industries director Ajay Parekh"	pre-Series A	"2,60,00,000"	Yes
81	03-06-19	Agara Labs	Deep-Tech	Artificial Intelligence	Bengaluru	Blume Ventures and RTP Global	pre-Series A	"25,00,000"	Yes
82	06-06-19	Sistema.bio	Agriculture	Hybrid Reactor Biodigestor	Nairobi	"Shell Foundation, DILA CAPITAL, Engie RDE Fund, EcoEnterprise Fund, EDFIMC (ElectriFI), Endeavor Catalyst Fund, CoCapital, Triodos, Alpha Mundi, and Lendahand"		"27,39,034.68"	Yes
83	06-06-19	Chakr Innovation	Energy	Renewable Energy	New Delhi	IAN Fund	Series A	"2,60,00,000"	Yes
84	06-06-19	Pratilipi	Digital Media	E-Books	Bengaluru	Qiming Venture Partners	Series B	"1,51,09,500.00"	Yes
85	10-06-19	Bolo App	Digital Media	Video Platform	Bengaluru	Nexus Venture Partners	Seed Funding	"4,30,200"	Yes
86	10-06-19	OkCredit	FinTech	Financial Services	Not Specified	Tiger Global Management	Series A	"1,55,00,000"	Yes
87	06-06-19	Biz2Credit	FinTech	Online Lending Platform	Not Specified	WestBridge Capital	Series B	"5,20,00,000"	Yes
88	08-06-19	Vogo Automotive Pvt. Ltd.	Transportation	Dockless Scooter Rental Company	Not Specified	Alteria Capital	Debt Funding	"35,84,000"	Yes
89	04-06-19	Leegality	Services	Digital Documentation	Mumbai	Mumbai Angels	Series A	"34,00,000"	Yes
90	06-05-19	Ola Electric	Transport	Cabs	Bengaluru	Tata Sons	Series A		No
91	06-05-19	Saahas Zero Waste	Waste Management Service	Optimization	Bengaluru	C4D Partners	Venture - Series Unknown	"8,68,600"	Yes
92	05-05-19	StyleDotMe	E-commerce	Fashion and Shopping	New Delhi	"Indian Angel Network and other angel investors, Innov8 founder Ritesh Malik, Josh Talks founders Supriya Paul and Shobha Banga, and former Hero Corporate president Rohit Chanana"	Bridge Round		No
93	01-05-19	BlackBuck	Transport	Logistics	Bengaluru	"Goldman Sachs Investment Partners and Silicon Valley-based Accel, Wellington, Sequoia Capital, B Capital, LightStreet, Sands Capital and International Finance Corporation,"	Series D	"15,00,00,000"	Yes
94	02-05-19	Zenoti	Saas	Beauty and Wellness Industry	Hyderabad	Tiger Global Management	Series C	"5,00,00,000"	Yes
95	28-05-19	Ather Energy	Automobile	Electric Vehicle	Bengaluru	Sachin Bansal	Series C	"5,10,00,000"	Yes
96	28-05-19	FreshVnF	Agtech	Fresh Agriculture Produces	Mumbai	Equanimity Ventures	Seed Round	"14,00,00,000"	Yes
97	30-05-19	GlowRoad	E-commerce	Retail	Bengaluru	"Korea Investment Partners, Vertex Ventures"	Series B	"1,15,00,000"	Yes
98	31-05-19	Bira91	Food and Beverage	Brewery	New Delhi	Sixth Sense Ventures	Series B	"56,00,000"	Yes
99	16-04-19	Kuvera	Finance	Wealth Management	Bengaluru	Eight Roads	Series A	"4,50,00,000"	Yes
100	12-04-19	Medlife	E-commerce	Online Medicine	Bengaluru	Prasid Uno Family Trust	Private Equity	"1,70,00,000"	Yes
101	10-04-19	Kabadiwala	E-commerce	Waste Management	Bhopal	"Unilever, Beehive Capital Advisor, ABCOM Investments, Parekh Marine Transport,"	Private Equity	"4,30,665"	Yes
102	13-04-19	Tripoto	Social Media	Travel	New Delhi	"Orchid India, Hornbill Orchid India Fund, Chiratae Ventures (formerly IDG Ventures), 3one4 Capital, Lasmer NV"	Series B	"35,91,375"	Yes
103	12-04-19	Azah	Health and Wellness	Organic wellness	Gurgoan	Unnamed angel investors	Seed Funding	"2,00,000"	Yes
104	11-04-19	Setu	Fintech	Banking	Bengaluru	Lightspeed India Partners	Seed Funding	"35,00,000"	Yes
105	10-04-19	Toppr	Edtech	E-learning	Mumbai	Milestone	Debt and Preference capital	"63,20,820"	Yes
106	10-04-19	Craftsvilla	E-commerce	Fashion and Apparel	Mumbai	Supera Pte Ltd	Inhouse Funding	"24,43,495"	Yes
107	10-04-19	Unacademy	Edtech	E-learning	Bengaluru	Kalyan Krishnamurthy	Seed/ Angel Funding	"3,07,000"	Yes
108	11-04-19	CleverTap	SaaS	Mobile analytics and marketing	Mumbai	"Sequoia India, Tiger Global Management, Accel Partners"	Series B	"2,60,00,000"	Yes
109	19-04-19	My Healthcare	E-commerce	Software Solutions	Bengaluru and Gurugram	Sixth Sense Ventures	Series A	"30,00,000"	Yes
110	19-04-19	KrazyBee	E-commerce	Lending Platform	Bengaluru	"BAC Acquisitions, Unifi AIF, BRD Securities, Northern R Capital"	Debt	14342000.00	Yes
111	17-04-19	Shuttl	Transportation	Bus Aggregation	Gurgoan	New Atlantic Ventures	Venture Round	"50,00,000"	Yes
112	17-04-19	Increff	Technology	Supply-chain technology solutions	Bengaluru	"021 Capita, Binny Bansal"	Series A	"30,00,000"	Yes
113	01-02-19	FleetX	AI	Logistics	Gurgaon	India Quotient and LetsVenture\\xe2\\x80\\x99s Angel Fund	Pre Series A		No
114	08-02-19	Zilingo	Ecommerce	Fashion & Apparel	India	"Sequoia Capital and Temasek Holdings, EDBI, Burda Principal Investments, and Sofina"	Series D	"22,60,00,000"	Yes
115	13-02-19	NanoClean Global	Nanotechnology	Anti-Pollution	New Delhi	"LetsVenture, PitchRight Venture, 91SpringBoard, AL Nour International Holdings and Mark V Investments"	Series A	"6,00,000"	Yes
116	14-02-18	OyoRooms	Hospitality	Budget Rooms	Gurgaon	DiDi Chuxing	Equity	"10,00,00,000"	Yes
117	03-01-19	CarDekho	Automobile	Online Marketplace	Jaipur	"Sequoia India, Hillhouse Capital, Alphabet\\xe2\\x80\\x99s growth investment arm Capital G and Axis Bank"	Series C	"11,00,00,000"	Yes
118	04-01-19	Vyome Therapeutics Inc.	Health and Wellness	Specialty pharmaceutical	India	"Iron Pillar, Perceptive Advisors, Romulus Capital and Kalaari Capital"	Series D	"2,20,00,000"	Yes
119	04-01-19	Samunnati Financial Intermediation & Services Pvt. Ltd	Finance	Non-banking financial company	Chennai	"MASSIF, a Dutch government fund"	Debt-Funding	"50,00,000"	Yes
120	04-12-18	Manch	Social Media	Hyperlocal Content	New Delhi	Stellaris Venture Partners	Seed Funding	"7,00,000"	Yes
121	01-12-18	UrbanClap Technologies Pvt. Ltd	Services Platform	Home services marketplace	New Delhi	Steadview Capital and Vy Capital.	Series D	"5,00,00,000"	Yes
122	02-12-18	Guiddoo	Travel Tech	Platform for travel agents	Mumbai	Individual Investors	Pre-Series A	"8,00,000"	Yes
123	02-12-18	Career Anna	Online Education	"Video-based certification, trainings"	Gurgoan	Individual Investors	Pre-Series A	"5,72,000"	Yes
124	04-12-18	Nagpur Wholesale	Online Marketplace	eCommerce	Nagpur	Omphalos Ventures India LLP	Seed Funding	"1,43,000"	Yes
125	06-12-18	ShopKirana	B2B	eCommerce	Indore	"Info Edge, AET Fund, Akatsuki and Incubate Fund from Japan and Better Capital AngelList syndicate."	Seed Funding	"20,00,000"	Yes
126	06-12-18	BuildSupply	"SaaS, Ecommerce"	"Real Estate, ERP"	Gurgoan	"Venture Highway, GREE Ventures, Space Matrix, Individual Investors"	Series A	"35,00,000"	Yes
127	01-11-18	GoDesi	Food and Beverage	Regional Flavours	Bengaluru	Lead Angels Network	Seed/ Angel Funding	"1,38,995"	Yes
128	03-11-18	Veritas Finance Ltd.	NBFC	MSME Finance	Chennai	"Norwest Venture Partners, CDC Group, the UK\\xe2\\x80\\x99s Development Finance Institution and P Surendra Pai"	Series D	"2,77,99,000"	Yes
129	06-11-18	Meesho	Ecommerce	Social Commerce	Bengaluru	"Shunwei Capital, DST Partners and RPS Ventures"	Series C	"5,00,00,000"	Yes
130	08-11-18	Mobile Premier League	Gaming	Mobile e-Sports	Bengaluru	Undisclosed	Series A	"5,00,000"	Yes
131	08-11-18	A&R Bon Vivants	Food	Meat Retail Chain	Jaipur	"RB Investments, Singapore"	Equity	"10,00,000"	Yes
132	12-11-18	Blackbuck	Food Tech	POS For Online Ordering	Not Specified	Tiger Global	Series A	"10,00,000"	Yes
133	12-11-18	MilkBAsket	Food	Micro-delivery grocery service	New Delhi	Mayfield Fund	Series B	"13,00,000"	Yes
134	13-11-18	DriveU	Transport	On-Demand Drivers	Bengaluru	Stevens Creek Ventures	Mezzanine	"10,00,000"	Yes
135	14-11-18	CleanseCar	Services	Car Wash	Bengaluru	Venture Catalysts	Seed/ Angel Funding	"5,00,000"	Yes
136	19-11-18	Automation Anywhere	Automation	Robotics	Not Specified	SoftBank Vision Fund	Series B	"30,00,00,000"	Yes
137	20-11-18	HealthifyMe	Health and Wellness	Wellness Coach	Bengaluru	"Sistema Asia Fund, VC Samsung NEXT, Chiratae Ventures, Inventus Capital, Blume Ventures and Innoven Capital."	Series B (Extension)	"60,00,000"	Yes
138	21-11-18	Genius Corner	Education	Personalized Learning	Noida	Individual investors	Seed Funding	"2,78,000"	Yes
139	22-11-18	Aavishkaar-Intellecap Group	Investment	SME Funding	Mumbai	Teachers Insurance and Annuity Association (TIAA)	Equity Based Funding	"3,10,00,000"	Yes
140	22-11-18	Skillbox	Social Network	Art	Gurgoan	Individual investors	Seed Funding		No
141	23-11-18	Signzy	Financial Tech	Digital Onboarding Solution	Mumbai	"Stellaris Venture Partners and Kalaari Capital, Rajan Anandan from Google, Dilip Khandwelwal from SAP Labs India, and Amrish Rau from PayU India"	Series A	"34,00,000"	Yes
142	24-11-18	Engineer.ai	Software	AI Platform	India	"Lakestar and Jungle Ventures, Softbank\\xe2\\x80\\x99s DeepCore."	Series A	"2,95,00,000"	Yes
143	25-11-18	InCred Finance	Finance	SME Lending	India	"Paragon Partners, Individual Investors"	Private Equity	"4,20,00,000"	Yes
144	25-11-18	Roposo	Social Media	Video Sharing	New Delhi	Bertelsmann India Investments	Series B	"17,00,000"	Yes
145	01-10-18	Northmist	Fashion	Mens Wear	New Delhi	Prashant Jaiswal	Seed/ Angel Funding		No
146	02-10-18	Origo Commodities India Pvt. Ltd	Logistics	Supply Chain	Hyderabad	"Cooperative Oikocredit, Caspian and Hivos-Triodos Fund"	Seed/ Angel Funding	"1,10,00,000"	Yes
147	04-10-18	Grover Zampa	Food	Wine	Mumbai	Ravi Viswanathan	Private Equity	"82,00,000"	Yes
148	05-10-18	Droom	Automobile	New and Used Cars Platform	Gurgaon	ZigExN	Series E	"30,00,000"	Yes
149	11-10-18	Innov8	Real Estate	Co-Working	New Delhi	Credence Family Office	Pre-Series A	"40,00,000"	Yes
150	12-10-18	Blackbuck	Logistics Tech	Largest Trucking Platform	Bengaluru	Sequoia Capital India	Private Funding	"1,46,80,000"	Yes
151	12-10-18	LetsTransport	Logistics Tech	Book Trucks Online	Bengaluru	Fosun International	Series C	"1,20,00,000"	Yes
152	01-09-18	Netmeds	Consumer Internet	Online Pharmacy Chain	Chennai	"Sistema Asia Fund, Sistema JSFC and Tanncam Investment"	Private Equity	"3,50,00,000"	Yes
153	03-09-18	Udaan	B2B Platform	Logistics and Shipping	Bengaluru	DST Global and Lightspeed Venture Partners\\xe2\\x80\\x99 global fund.	Private Equity	"22,50,00,000"	Yes
154	03-09-18	Daily hunt	Consumer Internet	News and ebooks Mobile App	Bengaluru	Falcon Edge	Private Equity	"63,90,000"	Yes
155	04-09-18	3HCare	Healthcare	Healthcare Service Provider	New Delhi	N/A	Seed / Angel Funding	"10,00,000"	Yes
156	04-09-18	HappyGoEasy	Consumer Internet	Online Travel Agecy	Gurgoan	"Korea Investment Partners (KIP), Samsung and China-based CITIC Capital and others"	Private Equity		No
157	05-09-18	Nykaa	Consumer Internet	Online Marketplace For Multi-brand Beauty Cosmetic and Wellness Products	Mumbai	Lighthouse	Private Equity	"15,72,00,000"	Yes
158	05-09-18	Mad Street Den	Technology	Computer Vision And Artificial Intelligence (Ai) Platform	Chennai	KDDI\\xc2\\xa0	Private Equity		No
159	06-09-18	Dream11	Consumer Internet	Online Gaming Platform	Mumbai	"Tencent, Kalaari Capital and Private equity firm Multiples Alternate Asset Management"	Private Equity	"10,00,00,000"	Yes
160	10-09-18	MamaEarth	Healthcare	Online Marketplace For Mother and Babycare Products	Gurgoan	Stellaris Ventures & Others	Private Equity	"40,00,000"	Yes
161	11-09-18	AutoGrid	Technology	AI-Based Energy Optimisation and Control Provider	Bengaluru	"CLP Holdings Group, Innogy, \\xc3\\x98rstead, and Tenaska"	Private Equity	"3,20,00,000"	Yes
162	11-09-18	Pharmeasy	Consumer Internet	Online Marketplace For Pharmaceutical Products	Mumbai	InnoVen Capital	Debt Funding	"55,00,000"	Yes
163	11-09-18	Upwards	Fin-Tech	Online Micro Lending Marketplace	Mumbai	"Shunwei Capital,Quotient, Mayfield & Others"	Private Equity	"50,00,000"	Yes
164	12-09-18	Kissht	Fin-Tech	Online lending Platform	Mumbai	"Vertex Ventures Southeast Asia (SEA) and India and Sistema Asia Fund, Fosun RZ Capital, Ventureast, and Endiya Partners.\\n\\n"	Private Equity	"3,00,00,000"	Yes
165	01-08-18	dishq	Food-Tech	Personalisation Technology Firm Focusing On The Food And Beverage Industry	Bengaluru	"Farm To Fork, Arts Alliance, The Syndicate Fund, Sven Hensen, Zeroth and Artesian Venture Partners"	Seed/ Angel Funding	"4,00,000"	Yes
166	01-08-18	HealthFin	Finance	Patient Financing Platform	Pune	"Axilor, Sprout Venture Partners and others"	Seed/ Angel Funding		No
167	02-08-18	Samosa Labs	Consumer Internet	Social Media and Chat Entertainment Platform	Hyderabad	Xiaomi and Sequoia Capital India	Private Equity	"70,00,000"	Yes
168	03-08-18	ZiffyHomes	Consumer Internet	Online Home Rental Marketplace	Gurgoan	Y Combinator	Private Equity	"1,20,000"	Yes
169	07-08-18	My OmNamo	Consumer Internet	Holy Platform Offering Customised Puja Packages To Individuals and Corporates	Mumbai	N/A	Seed/ Angel Funding	"10,00,000"	Yes
170	07-08-18	ShopX	Consumer Internet	Assisted E-commerce Platform	Bengaluru	Fung Strategic Holdings	Private Equity	"3,50,00,000"	Yes
171	07-08-18	MakeMyTrip	Consumer Internet	Online Travel Aggregator	Gurgoan	MakeMyTrip Limited	Private Equity	"1,00,00,000"	Yes
172	08-08-18	Hansel io	Consumer Internet	Real-time Mobile App Management	Bengaluru	Vertex Ventures	Seed/ Angel Funding	"40,00,000"	Yes
173	08-08-18	Metro Bikes	Consumer Internet	Online Bike Rental Marketplace	Bengaluru	"Sequoia Capital India Advisors, Accel Partners and G Raghunandan"	Private Equity	"1,22,00,000"	Yes
174	08-08-18	Phone Pe	Consumer Internet	UPI Payments App	Bengaluru	Flipkart	Private Equity	"6,60,00,000"	Yes
175	09-08-18	quizizz	Ed-Tech	e-learning Platform	Bengaluru	"Nexus Venture Partners, Prime Venture Partners and Others"	Seed/ Angel Funding	"30,00,000"	Yes
176	09-08-18	Happy EMI	Fin-Tech	Consumer Financing Platform	Bengaluru	AJ Ventures and Jain International Trade Organisation (JITO)	Seed/ Angel Funding	"10,00,000"	Yes
177	13-08-18	Inthree	Consumer Internet	Rural E-commerce Platform	Chennai	"Ventureast, Orios Venture Partners and the IAN Fund"	Seed/ Angel Funding	"40,00,000"	Yes
178	13-08-18	Observe AI	Technology	AI Based Solutions Platform	Bengaluru	"Nexus Venture Partners, MGV, Liquid 2 Ventures, Hack VC, Emergent Ventures and Y Combinator"	Private Equity	"80,00,000"	Yes
179	16-08-18	Enakshi	Consumer Internet	AI Based Solutions Platform	Ahmedabad	N/A	Seed/ Angel Funding	"1,14,811"	Yes
180	17-08-18	EazyDiner	Consumer Internet	Online Restaurant Table Reservation Platform	Gurgoan	Denlow Investment Trust and Beenext	Private Equity	"58,50,000"	Yes
181	20-08-18	Finzy	Finance	Online Loan Matchmaking Platform	Bengaluru	N/A	Seed / Angel Funding	"10,00,000"	Yes
182	20-08-18	RawPressery	Consumer Internet	Online Organic Juice Delivery Service	Mumbai	Alteria Capital	Debt Funding	"48,00,000"	Yes
183	22-08-18	Pi Ventures	Technology	Applied Artificial Intelligence and IoT focusedPlatform	Bengaluru	CDC Group plc\\xc2\\xa0	Private Equity	"60,00,000"	Yes
184	22-08-18	Revv	Consumer Internet	Online Indian Car Rental Platform	Gurgoan	"Hyundai, Edelweiss and Beenext, Dream Incubator, Sunjay Kapoor and Telama Investment"	Private Equity	"1,42,70,000"	Yes
185	26-08-18	ZestMoney	Consumer Internet	Online Lending Platform	Bengaluru	"Xiaomi,PayU, Ribbit Capital and Omidyar Network"	Private Equity	"1,34,00,000"	Yes
186	26-08-18	Shubh Loans	Fin-Tech	Customer Sourcing Platform	Bengaluru	"Saama Capital, SRI Capital, Beenext, and Pravega Ventures"	Private Equity	"42,00,000"	Yes
187	27-08-18	MyUpchar	Healthcare	Local Language Health Content App	New Delhi	"Nexus Venture Partners, Omidyar Network and Shunwei Capital"	Private Equity	"50,00,000"	Yes
188	28-08-18	Narvar	IT	Post-Purchase Customer Engagement Platform	Bengaluru	Accel (formerly known as Accel Partners)	Private Equity	"30,00,000"	Yes
189	30-08-18	True North	Finance	Private Equity Firm	Mumbai	N/A	Private Equity	"60,00,00,000"	Yes
